"V1","V2","V3","V4","V5","location.x","location.y","V8","V9","V10","V11","V12","V13","subtype","V15","uuid","V17","V18","level"
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.822645,-6.202647,12,1494287985929,6,2,"7","MH Thamrin","JAM_HEAVY_TRAFFIC","JAM","a39a1db6-89bf-304e-8572-bc60a4dbb8c9",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.823268,-6.199207,179,1494288901370,5,3,"7","MH Thamrin","JAM_MODERATE_TRAFFIC","JAM","0e3373f6-3b56-38d0-8920-b2d17880134a",20170509,20170509,100
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.824553,-6.202528,103,1494288729269,5,3,"2","Jalan Kendal","JAM_HEAVY_TRAFFIC","JAM","52d33526-bf6d-3fb6-8443-ef137419301d",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.832632,-6.175482,185,1494288264307,5,2,"2","Pejambon","JAM_HEAVY_TRAFFIC","JAM","b845e080-ff03-3020-a52e-d3d4f5e7aaa2",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.838019,-6.202701,347,1494287890172,6,3,"2","Teuku Cik Ditiro","JAM_HEAVY_TRAFFIC","JAM","0a2dcbfd-a985-3995-b203-8446153bc3c9",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.861755,-6.194086,238,1494288640728,5,1,"2","Pramuka (Jalur Lambat)","JAM_HEAVY_TRAFFIC","JAM","0c89c675-3774-3e06-9930-f4420674f2a5",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",0,"ID",106.867686,-6.192348,264,1494288822443,5,0,"7","Pramuka","JAM_HEAVY_TRAFFIC","JAM","caa5a5f6-94c6-339e-8095-97a4e9e05aeb",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",1,"ID",106.86212,-6.193775,238,1494288601440,8,2,"7","Pramuka","JAM_HEAVY_TRAFFIC","JAM","afb36f8d-4a7e-3576-a025-45dd80dfb397",20170509,20170509,200
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",5,"ID",106.801086,-6.203817,0,1493897264790,10,0,"\N","U-turn","ROAD_CLOSED_EVENT","ROAD_CLOSED","99b70b32-93c2-3da7-89cf-bb999ccd423c",20170509,20170509,100
"2017-05-09 00:13:00:000","2017-05-09 00:14:00:000","Jakarta Pusat",5,"ID",106.807219,-6.223104,0,1493963929870,10,0,"\N","\N","ROAD_CLOSED_EVENT","ROAD_CLOSED","a0eef64c-fd8a-3b75-ab1e-89ea508df604",20170509,20170509,100
