country,nThumbsUp,city,reportRating,confidence,reliability,type,uuid,roadType,magvar,subtype,street,location/x,location/y,pubMillis,reportDescription
ID,0,Tangerang Selatan,3,0,5,JAM,4e6e8713-1e1b-350a-b422-ff6268e4b1b1,2,144,JAM_HEAVY_TRAFFIC,WR Supratman,106.757045,-6.305129,1507269382251,
ID,0,Tangerang Selatan,1,0,5,JAM,b8880f6d-7f03-3472-9639-151924b1b763,2,17,JAM_MODERATE_TRAFFIC,Cirendeu Raya,106.772539,-6.309396,1507269700501,
ID,0,Tangerang Selatan,2,0,5,JAM,bd4abc90-5da0-3519-9dd1-561d7b0631c9,2,99,JAM_HEAVY_TRAFFIC,Ceger Raya,106.72999,-6.262537,1507269506330,
ID,0,Jakarta Selatan,2,0,5,JAM,1c7ca3c1-de57-34a6-b586-aff0fc35b0a0,2,263,JAM_STAND_STILL_TRAFFIC,Kesehatan Raya,106.760479,-6.270922,1507269513278,
ID,0,Jakarta Selatan,0,0,5,JAM,fb5aee87-bdc5-3905-83da-0501c4c134ed,2,172,JAM_MODERATE_TRAFFIC,Peninggaran Raya,106.772482,-6.24456,1507269559089,
ID,0,Tangerang Selatan,2,0,5,JAM,68e928df-b8ac-3c3a-b20e-8441afcb5cf7,2,78,JAM_HEAVY_TRAFFIC,Ceger Raya,106.736242,-6.262869,1507269684890,
ID,0,Jakarta Selatan,0,0,5,JAM,d156aa1f-d2c3-3256-a107-e5b0c1459420,2,177,JAM_MODERATE_TRAFFIC,Delman Utama 1,106.772767,-6.247678,1507269761359,
ID,0,Jakarta Selatan,0,5,10,ROAD_CLOSED,fb50aef2-74e0-35cd-8a01-2cb55c858fcc,,0,ROAD_CLOSED_EVENT,TB Simatupang,106.839653,-6.302743,1504580738257,penutupan perlintasan
ID,0,Jakarta Selatan,1,0,5,JAM,6d49514a-d83c-3586-8f2d-10ebacc9722c,2,55,JAM_HEAVY_TRAFFIC,Terogong Raya,106.788314,-6.284688,1507269947080,
ID,0,Jakarta Selatan,0,2,10,ROAD_CLOSED,5c75d832-25d5-361d-841e-1951b17e8640,,0,ROAD_CLOSED_EVENT,,106.797225,-6.263901,1506386800625,
ID,0,Jakarta Selatan,0,5,10,ROAD_CLOSED,bfd4e5a4-e3db-3752-86ed-67c89c6ea482,,0,ROAD_CLOSED_EVENT,,106.797128,-6.263916,1506386800333,
ID,0,Jakarta Selatan,3,0,5,JAM,d99a6a07-9549-3ca3-9a54-54dffda0c64f,2,282,JAM_MODERATE_TRAFFIC,Kemang Selatan,106.817104,-6.273357,1507269522199,
ID,0,Jakarta Selatan,1,0,5,JAM,679df650-0faa-3007-9520-a6a14af38a6d,2,272,JAM_STAND_STILL_TRAFFIC,Kemang Utara,106.824182,-6.258019,1507269943043,
ID,0,Jakarta Selatan,2,0,5,JAM,ddee42f6-d5f5-3fd6-a53a-b5fb68a218c5,2,289,JAM_MODERATE_TRAFFIC,Pejaten Barat,106.821369,-6.276067,1507270130325,
ID,0,Jakarta Selatan,3,0,5,JAM,1bda41a2-c245-379c-9968-14b5441a4fff,2,191,JAM_HEAVY_TRAFFIC,Salihara,106.838421,-6.281335,1507270179891,
ID,0,Jakarta Selatan,1,0,5,JAM,4cfa0e98-2cb9-339f-a96d-b596c3fe8f4e,2,174,JAM_HEAVY_TRAFFIC,Kemang Raya,106.816102,-6.264184,1507270196316,
ID,0,Jakarta Selatan,0,5,10,ROAD_CLOSED,e4dc6828-9ce7-3818-be04-38c68979a6ee,,0,ROAD_CLOSED_EVENT,,106.82567,-6.240247,1500549557210,konstruksi underpass
ID,0,Jakarta Selatan,0,5,10,ROAD_CLOSED,fc7ad61c-adce-3d83-9fa4-6659bc19834f,,0,ROAD_CLOSED_EVENT,Sisingamangaraja,106.797975,-6.245891,1506318989459,proyek MRT
ID,0,Jakarta Selatan,1,0,5,JAM,c871350d-b1b1-3a32-b427-49d82168b5cb,2,89,JAM_HEAVY_TRAFFIC,Kemang Utara,106.823228,-6.258001,1507269471790,
ID,0,Jakarta Selatan,1,0,5,JAM,2e95f005-8949-3131-903c-f4606e8b0649,1,4,JAM_MODERATE_TRAFFIC,Kostrad Pusri,106.757243,-6.235608,1507270125498,
ID,0,Jakarta Barat,0,1,8,ROAD_CLOSED,939366b5-a4fe-3124-8ded-d71e0b6d2ef3,,0,ROAD_CLOSED_EVENT,Kembangan Raya,106.73997,-6.182808,1502623071746,Pengalihan Jalan Untuk Perbaikan Jalan
ID,0,Jakarta Barat,0,5,10,ROAD_CLOSED,463d34fa-d4d4-3cb9-948b-4fd40060c63c,,0,ROAD_CLOSED_EVENT,Kembangan Raya,106.742075,-6.181363,1503366183427,Pengalihan Jalan Untuk Perbaikan Jalan
ID,0,Jakarta Barat,0,5,10,ROAD_CLOSED,1ea036b7-626a-35f6-8fd8-f672ccb6268e,,0,ROAD_CLOSED_EVENT,Kembangan Raya,106.738084,-6.184713,1502623064614,Pengalihan Jalan Untuk Perbaikan Jalan
